name,stars,reviews
Tata Tea Gold |Premium Assam teas with GentlyÂ  Rolled Aromatic Long Leaves | Rich & Aromatic Chai |Black Tea | 1 kg,4.4 out of 5 stars,4.4 out of 5 stars
"Cadbury Bournvita Chocolate Health Drink, 2 kg",4.4 out of 5 stars,4.4 out of 5 stars
"Tetley Green Tea, Lemon And Honey, 100 Tea Bags, 140 Grams",4.3 out of 5 stars,4.3 out of 5 stars
Girnar Food & Beverages Pvt. Ltd. Detox Green Tea - Desi Kahwa (36 Tea Bags) 90 gm,4.5 out of 5 stars,4.5 out of 5 stars
"Quaker Oats 1.5kg, Rolled Oats Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy to Cook",4.4 out of 5 stars,4.4 out of 5 stars
Tata Tea Premium | Desh Ki Chai | Unique Blend Crafted For Chai Lovers Across India | Black Tea | 1.5kg,4.4 out of 5 stars,4.4 out of 5 stars
"Maaza Mango Drink, Original Flavour, 1.2 L PET Bottle",4.4 out of 5 stars,4.4 out of 5 stars
"Thums Up Soft Drink PET Bottle, 750 ml",4.4 out of 5 stars,4.4 out of 5 stars
"Thums Up Soft Drink PET Bottle, 2 L",4.4 out of 5 stars,4.4 out of 5 stars
"Ensure Complete, Balanced Nutrition Drink For Adults 1kg, Vanilla Flavour, Now With A Special Ingredient HMB And 32 Essential Nutrients To Help Build & Protect Muscle Strength",4.5 out of 5 stars,4.5 out of 5 stars
